target_participation,actual_participation,day,ev,usage_type,smart
1.0,1.0,1,RESIDENTIAL_EV_004,residential,True
1.0,1.0,1,RESIDENTIAL_EV_005,residential,True
1.0,1.0,1,RESIDENTIAL_EV_006,residential,True
1.0,1.0,1,RESIDENTIAL_EV_007,residential,True
1.0,1.0,1,RESIDENTIAL_EV_008,residential,True
1.0,1.0,1,RESIDENTIAL_EV_009,residential,True
1.0,1.0,1,RESIDENTIAL_EV_010,residential,True
1.0,1.0,1,RESIDENTIAL_EV_011,residential,True
1.0,1.0,1,RESIDENTIAL_EV_012,residential,True
1.0,1.0,1,RESIDENTIAL_EV_013,residential,True
1.0,1.0,1,RESIDENTIAL_EV_014,residential,True
1.0,1.0,1,RESIDENTIAL_EV_015,residential,True
1.0,1.0,1,RESIDENTIAL_EV_016,residential,True
1.0,1.0,1,RESIDENTIAL_EV_017,residential,True
1.0,1.0,1,RESIDENTIAL_EV_018,residential,True
1.0,1.0,1,OFFICE LV2_EV_001,office lv2,True
1.0,1.0,1,OFFICE LV2_EV_002,office lv2,True
1.0,1.0,1,OFFICE LV2_EV_003,office lv2,True
1.0,1.0,1,OFFICE LV2_EV_004,office lv2,True
1.0,1.0,1,OFFICE LV2_EV_005,office lv2,True
1.0,1.0,1,OFFICE LV2_EV_006,office lv2,True
1.0,1.0,1,OFFICE LV2_EV_007,office lv2,True
1.0,1.0,1,OFFICE LV2_EV_008,office lv2,True
1.0,1.0,1,OFFICE LV3_EV_001,office lv3,True
1.0,1.0,1,OFFICE LV3_EV_002,office lv3,True
1.0,1.0,1,OFFICE LV3_EV_003,office lv3,True
1.0,1.0,1,OFFICE LV3_EV_004,office lv3,True
1.0,1.0,1,OFFICE LV3_EV_005,office lv3,True
1.0,1.0,1,COMMERCIAL LV3_EV_001,commercial lv3,True
1.0,1.0,1,COMMERCIAL LV3_EV_002,commercial lv3,True
1.0,1.0,1,COMMERCIAL LV3_EV_003,commercial lv3,True
1.0,1.0,1,COMMERCIAL LV3_EV_004,commercial lv3,True
1.0,1.0,1,COMMERCIAL LV3_EV_005,commercial lv3,True
